analysis_run_id,gathering_run_id,candidate_segment,confidence,domain,name,country,employee_count,old_label,reasoning,linkedin_url,website_url
133363,568,AI_CONTENT_MARKETING,0.9,electricsheep.tv,"",,,AI_CONTENT_MARKETING,"The company provides an AI Video Editor & VFX Platform for Content Creation, which is an AI-first SaaS product for generating marketing content, fitting the AI_CONTENT_MARKETING segment.",,
133680,569,AI_CONTENT_MARKETING,0.9,teknikforce.com,,,,AI_CONTENT_MARKETING,"Teknikforce provides a wide array of AI-powered internet marketing software, including tools for AI content generation (video, text, images), social media engagement automation, and virtual influencer creation, directly targeting marketers.",,
133713,569,AI_CONTENT_MARKETING,0.9,artflow.ai,artflow.ai,,,AI_CONTENT_MARKETING,"Artflow AI is an AI-first SaaS platform focused on generating images and 'actors' (likely characters/avatars) using AI, directly aligning with AI content creation tools for marketers or creators.",,
135297,569,AI_CONTENT_MARKETING,0.9,posttely.com,Posttely,,,AI_CONTENT_MARKETING,"Posttely is an AI-powered social media management tool that focuses on using AI to generate content, captions, and manage social media presence for marketers. This aligns perfectly with AI-first SaaS products for content creation and social content generation for marketing teams.",,
133792,569,AI_CONTENT_MARKETING,0.9,linah.ai,LINAH,,,AI_CONTENT_MARKETING,"Linah.ai is an AI-first SaaS product that generates marketing videos and scripts using AI avatars, targeting DTC brands, agencies, and marketers to automate content creation and improve ROAS. This aligns perfectly with the AI_CONTENT_MARKETING segment's focus on AI/ML platforms for marketing teams.",,
133352,568,AI_CONTENT_MARKETING,0.9,liftapp.ai,"",,,AI_CONTENT_MARKETING,"Liftapp.ai is an AI-first SaaS platform providing tools for image generation and editing, explicitly for content creation across social media, ads, and e-commerce, which aligns with the AI_CONTENT_MARKETING segment. OnSocial data could enhance their AI models for audience-specific content generation and performance attribution.",,
133394,568,AI_CONTENT_MARKETING,0.9,cosmicjs.com,"",,,AI_CONTENT_MARKETING,"Cosmic.js is an AI-powered headless CMS that automates content creation, application building, and workflows for marketing and development teams, directly fitting the description of an AI-first SaaS product for content generation.",,
133278,568,AI_CONTENT_MARKETING,0.9,abev.ai,"",,,AI_CONTENT_MARKETING,"Abev AI provides an AI-powered platform for social media automation, content creation (posts, images), and engagement, explicitly leveraging AI to assist marketing teams with their social media strategy.",,
134994,569,AI_CONTENT_MARKETING,0.9,multiplierai.co,Multiplier AI,,,AI_CONTENT_MARKETING,"The company provides a 'GenAI-Based Pharma Marketing & Sales Toolkit,' indicating an AI-first SaaS product for marketing teams, which aligns with the AI_CONTENT_MARKETING segment.",,
133396,568,AI_CONTENT_MARKETING,0.9,kiwiq.ai,"",,,AI_CONTENT_MARKETING,"KiwiQ.AI provides an 'AI-Native Content Operating System' that leverages AI for content creation and AEO (AI Engine Optimization) to help brands get cited by AI search engines like ChatGPT, directly targeting marketing teams.",,
133476,569,AI_CONTENT_MARKETING,0.9,ocoya.com,,,,AI_CONTENT_MARKETING,"Ocoya is an AI-first SaaS platform that helps marketers and agencies create, schedule, and manage social media content using AI agents and automated workflows, directly fitting the AI_CONTENT_MARKETING segment.",,
